feature,gain,split
tmp_range_current,0.0,0
wind_range_current,0.0,0
prec_clip_std_7d,0.0,0
prec_clip_sum_7d,0.0,0
stress_daily_current,0.0,0
prec_clip_max_7d,0.0,0
prec_clip_mean_7d,0.0,0
prec_clip_max_14d,0.0,0
dp_tmp_current,0.0,0
humidity_deficit_current,0.0,0
prec_clip_current,0.0,0
prec_log1p_current,0.0,0
surf_pre_current,0.0,0
humidity_current,0.0,0
prec_current,0.0,0
is_wet_day_5mm_sum_7d,0.0,0
is_heavy_precip_sum_14d,0.0,0
is_heavy_precip_sum_7d,0.0,0
is_wet_day_5mm_sum_14d,0.0,0
is_heavy_precip_sum_28d,0.0,0
heat_day_30_sum_7d,0.0,0
heat_day_30_sum_14d,0.0,0
heat_day_30_sum_28d,0.0,0
heat_day_30_sum_56d,0.0,0
water_balance_mean_7d,0.0,0
humidity_deficit_mean_28d,0.0,0
wind_max_mean_14d,0.0,0
surf_pre_mean_7d,0.0,0
wind_max_mean_7d,0.0,0
wind_mean_7d,0.0,0
vpd_mean_14d,0.0,0
prec_sum_7_vs_28,0.0,0
score_hat_filled_by_final,0.0,0
tmp_mean_28d_z_rmonth,0.0,0
vpd_mean_7_minus_28,0.0,0
prec_intensity_28d,0.0,0
true_score_lag_52_missing,0.0,0
true_score_lag_26_missing,0.0,0
true_score_lag_13_missing,0.0,0
true_score_lag_104_missing,0.0,0
